Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
110001 Alta Floresta D'Oeste;24699;51599,5;24818;52178,94;119;579,44
110040 Alto Paraíso;16360;3358;17110;10834,9;750;7476,9
110045 Buritis;1622;10772,36;1622;10772,36;0;0
110004 Cacoal;45237;609066,17;45237;609066,17;0;0
110070 Campo Novo de Rondônia;37695;14010,26;37697;14019,6;2;9,34
110005 Cerejeiras;12800;18460,13;12800;18460,13;0;0
110006 Colorado do Oeste;10292;11420,21;11121;18121,8;829;6701,59
110007 Corumbiara;3944;14299,41;3992;14889,84;48;590,43
110008 Costa Marques;2172;9937,18;2172;9937,18;0;0
110094 Cujubim;11499;30091,08;11499;30091,08;0;0
110011 Jaru;88455;412113,27;88455;412113,27;0;0
110012 Ji-Paraná;356445;2120658,81;510244;2221246,38;153799;100587,57
110140 Monte Negro;2316;6327,55;2324;6335,55;8;8
110018 Pimenta Bueno;26503;105367,34;26503;105367,34;0;0
110026 Rio Crespo;542;2301,87;542;2301,87;0;0
110149 São Francisco do Guaporé;14755;17302,27;18473;33417,69;3718;16115,42
110030 Vilhena;64910;494965,45;64980;495349,94;70;384,49
120001 Acrelândia;2540;2203,9;2540;2203,9;0;0
120005 Assis Brasil;1916;9753,3;1916;9753,3;0;0
120010 Brasiléia;20438;97726,4;20517;97726,4;79;0
120013 Bujari;88;-;88;-;0;0
120017 Capixaba;101;-;101;-;0;0
120020 Cruzeiro do Sul;178656;547932,85;179211;548965,4;555;1032,55
120025 Epitaciolândia;139;-;139;-;0;0
120030 Feijó;25873;84344,15;25873;84344,15;0;0
120032 Jordão;1579;2530,78;1579;2530,78;0;0
120033 Mâncio Lima;5759;25821,27;5759;25821,27;0;0
120034 Manoel Urbano;3320;12190,38;3320;12190,38;0;0
120038 Plácido de Castro;8102;27454,69;8102;27454,69;0;0
120080 Porto Acre;129;-;129;-;0;0
120039 Porto Walter;4740;7620,16;4740;7620,16;0;0
120040 Rio Branco;524403;4218828,68;524556;4220351,27;153;1522,59
120042 Rodrigues Alves;2182;17043,94;2182;17043,94;0;0
120050 Sena Madureira;21922;79117,64;21922;79117,64;0;0
120045 Senador Guiomard;13761;55539,59;13761;55539,59;0;0
120060 Tarauacá;10147;46087,72;10147;46087,72;0;0
120070 Xapuri;6185;38483,64;6185;38483,64;0;0
130002 Alvarães;2197;18928,75;2197;18928,75;0;0
130006 Amaturá;7302;16902,71;7302;16902,71;0;0
130008 Anamã;2314;13497,06;2314;13497,06;0;0
130010 Anori;2585;15815,85;2585;15815,85;0;0
130014 Apuí;6269;27818,1;6343;27818,1;74;0
130020 Atalaia do Norte;30320;30440,76;30320;30440,76;0;0
130030 Autazes;608;1178;611;1178;3;0
130050 Barreirinha;22493;115178,46;22500;115237,05;7;58,59
130068 Boa Vista do Ramos;25;82,25;25;82,25;0;0
130070 Boca do Acre;15317;49959,91;15317;49959,91;0;0
130080 Borba;14458;36078,17;17076;56295,31;2618;20217,14
130083 Caapiranga;1748;8359,43;1748;8359,43;0;0
130090 Canutama;2453;10102,01;2453;10102,01;0;0
130100 Carauari;3889;625;3889;625;0;0
130130 Codajás;815;5931,02;964;5931,02;149;0
130140 Eirunepé;31295;20297,56;31385;20297,56;90;0
130150 Envira;11583;2100,65;11583;2100,65;0;0
130165 Guajará;4112;50,6;4112;50,6;0;0
130170 Humaitá;33005;139106,57;33005;139106,57;0;0
130185 Iranduba;12712;1105,76;12730;1105,76;18;0
130200 Itapiranga;10;-;10;-;0;0
130210 Japurá;1642;9337,38;1642;9337,38;0;0
130220 Juruá;81;-;81;-;0;0
130240 Lábrea;9912;-;9912;-;0;0
130250 Manacapuru;58309;368478,22;58309;368478,22;0;0
130255 Manaquiri;6161;30262,39;6161;30262,39;0;0
130260 Manaus;2798707;19262984,65;2798891;19264821,95;184;1837,3
130270 Manicoré;77;-;177;-;100;0
130280 Maraã;1146;11191,25;1146;11191,25;0;0
130290 Maués;32135;57774,79;45451;104810,81;13316;47036,02
130300 Nhamundá;2796;13592,78;2796;13592,78;0;0
130310 Nova Olinda do Norte;17110;54263,64;17119;54263,64;9;0
130320 Novo Airão;776;2467,33;776;2467,33;0;0
130330 Novo Aripuanã;7407;30975,66;7407;30975,66;0;0
130353 Presidente Figueiredo;21214;106721,92;21226;106790,85;12;68,93
130356 Rio Preto da Eva;6591;9243,01;6591;9243,01;0;0
130370 Santo Antônio do Içá;64;-;64;-;0;0
130380 São Gabriel da Cachoeira;11756;38985,43;11763;38985,43;7;0
130390 São Paulo de Olivença;4382;19415,7;4382;19415,7;0;0
130395 São Sebastião do Uatumã;8265;7030,13;8265;7030,13;0;0
130400 Silves;5;-;5;-;0;0
130406 Tabatinga;52067;58532,35;52067;58532,35;0;0
130423 Tonantins;11978;34556,99;11978;34556,99;0;0
130426 Uarini;4562;18687,15;4562;18687,15;0;0
130430 Urucará;21094;-;21094;-;0;0
130440 Urucurituba;2242;3614,31;2242;3614,31;0;0
140005 Alto Alegre;3840;17749,91;3840;17749,91;0;0
140002 Amajari;1100;3514,59;1100;3514,59;0;0
140010 Boa Vista;401531;3568169,31;401531;3568169,31;0;0
140015 Bonfim;3422;7795,2;3423;7795,2;1;0
140017 Cantá;85;-;85;-;0;0
140020 Caracaraí;6889;29779,46;6889;29779,46;0;0
140023 Caroebe;2902;12535,24;2902;12535,24;0;0
140028 Iracema;15;-;15;-;0;0
140030 Mucajaí;12272;47305,67;12272;47305,67;0;0
140040 Normandia;2323;7889,69;2323;7889,69;0;0
140045 Pacaraima;7551;30194,65;7551;30194,65;0;0
140047 Rorainópolis;11100;68798,28;11100;68798,28;0;0
140050 São João da Baliza;1584;10852,84;1584;10852,84;0;0
140060 São Luiz;4475;13970,27;4475;13970,27;0;0
140070 Uiramutã;20;-;20;-;0;0
150013 Abel Figueiredo;5973;7395,81;5973;7395,81;0;0
150034 Água Azul do Norte;27821;100623,02;27835;100733,02;14;110
150070 Anajás;24936;-;24936;-;0;0
150085 Anapu;22141;52057,42;24416;72661,22;2275;20603,8
150090 Augusto Corrêa;362;-;362;-;0;0
150125 Bannach;3561;7093,54;3567;7093,54;6;0
150140 Belém;2161234;15356092,89;2417419;16908762,64;256185;1552669,75
150150 Benevides;54571;332634,13;57572;358545,65;3001;25911,52
150190 Bujaru;93443;-;93443;-;0;0
150250 Chaves;8957;2229,85;8960;2285,5;3;55,65
150270 Conceição do Araguaia;22620;72183,73;23923;80328,98;1303;8145,25
150307 Garrafão do Norte;3390;8850,81;3699;13962,96;309;5112,15
150309 Goianésia do Pará;15727;62121,8;18952;77579,45;3225;15457,65
150320 Igarapé-Açu;19720;85832,54;20703;87832,79;983;2000,25
150410 Magalhães Barata;65;-;65;-;0;0
150420 Marabá;93892;1299262,08;94123;1301910,88;231;2648,8
150440 Marapanim;23260;28322,1;23260;28322,1;0;0
150497 Nova Ipixuna;12835;10378,19;12924;10622,8;89;244,61
150500 Nova Timboteua;1264;4658,72;1303;5047,79;39;389,07
150503 Novo Progresso;6553;76389,98;8214;92639,98;1661;16250
150548 Pacajá;16768;41798,55;17667;50788,55;899;8990
150550 Paragominas;113473;386461,6;113473;386461,6;0;0
150553 Parauapebas;203050;921312,95;203059;921314,64;9;1,69
150560 Peixe-Boi;2938;7462,55;2938;7462,55;0;0
150611 Quatipuru;11882;-;11882;-;0;0
150613 Redenção;79238;314309,59;86945;346261,84;7707;31952,25
150618 Rondon do Pará;203;-;203;-;0;0
150660 Santa Maria do Pará;6572;34170,24;8633;43399,59;2061;9229,35
150670 Santana do Araguaia;51681;173595,9;51750;174245,15;69;649,25
150700 Santo Antônio do Tauá;1692;16,77;1692;16,77;0;0
150730 São Félix do Xingu;24796;133944,89;25507;148321,5;711;14376,61
150750 São João do Araguaia;16950;1839,11;17695;3838,74;745;1999,63
150780 Senador José Porfírio;6569;42992,12;6886;52079,33;317;9087,21
150790 Soure;24601;39800,46;26200;50006,17;1599;10205,71
150795 Tailândia;14717;66209,37;24926;164933,81;10209;98724,44
150796 Terra Alta;11620;-;11620;-;0;0
150797 Terra Santa;11225;62155,64;16485;120848,44;5260;58692,8
150800 Tomé-Açu;41040;115447,52;41041;115457,52;1;10
150805 Trairão;12162;18465,34;12308;18558,06;146;92,72
150812 Ulianópolis;10313;455576,5;10475;455774,27;162;197,77
150820 Vigia;43930;157159,39;43930;157159,39;0;0
150830 Viseu;15319;116877,79;15323;116902,99;4;25,2
150835 Vitória do Xingu;19960;22238,28;20319;22317,87;359;79,59
150840 Xinguara;83006;349744,06;89127;371475,54;6121;21731,48
160010 Amapá;18;13;18;13;0;0
160023 Ferreira Gomes;158;-;158;-;0;0
160025 Itaubal;83;-;83;-;0;0
160027 Laranjal do Jari;5892;15437,57;5968;15652,65;76;215,08
160030 Macapá;80235;987,7;80715;987,7;480;0
160015 Pedra Branca do Amapari;703;-;703;-;0;0
160080 Vitória do Jari;2456;5997,76;2645;6504,41;189;506,65
170025 Abreulândia;63;-;63;-;0;0
170040 Almas;16092;16163,08;16369;19195,48;277;3032,4
170070 Alvorada;6540;39360,27;6737;42841,26;197;3480,99
170105 Angico;15;-;15;-;0;0
170130 Aragominas;538;-;538;-;0;0
170190 Araguacema;2463;33,72;2463;33,72;0;0
170200 Araguaçu;5142;30178,2;5142;30178,2;0;0
170210 Araguaína;347572;1533245,43;352370;1565080,73;4798;31835,3
170215 Araguanã;3748;2763,6;3748;2763,6;0;0
170220 Araguatins;21008;92922,45;21008;92922,45;0;0
170230 Arapoema;8871;52143,22;8871;52143,22;0;0
170240 Arraias;3648;17316,73;3648;17316,73;0;0
170255 Augustinópolis;18058;104563,26;18065;104638,08;7;74,82
